"variable","mean","median","sd","lower","upper","rhat","ess_bulk","t"
"a",-3.7867344,-3.787135,0.125211820975,-4.03904275,-3.535636,1.00153755989058,1311.90014490944,103
"a",-3.71924254444444,-3.72001,0.135470606090964,-3.99262525,-3.4473105,1.00126057510101,1233.79778552854,104
"a",-3.65181272222222,-3.65306,0.14415968384043,-3.928127,-3.36386775,1.00103170825549,1181.07610639058,105
"a",-3.58489455555556,-3.58557,0.152674476528424,-3.87318,-3.26729775,1.00085983022335,1166.10709829441,106
"a",-3.51870525555556,-3.52007,0.161001050914572,-3.8157955,-3.184429,1.00061405712876,1162.92299714953,107
"a",-3.45427835555556,-3.457085,0.166995903613065,-3.76186075,-3.11177375,1.00071097262752,1122.90827309825,108
"a",-3.39278873333333,-3.39601,0.170896587227097,-3.71527925,-3.04271425,1.00088613623845,1045.61301000556,109
"a",-3.3342962,-3.34013,0.173138390015043,-3.65458575,-2.98070975,1.00103054413647,959.545948221198,110
"a",-3.278958,-3.28374,0.173638399904711,-3.60252375,-2.92755675,1.00148231530007,880.135676113467,111
"a",-3.22706554444444,-3.234215,0.172457292815992,-3.548635,-2.87520775,1.00157892677753,808.360583942876,112
"a",-3.17905038888889,-3.18917,0.170164056823599,-3.49267425,-2.8041945,1.00115932917438,812.971459653317,113
"a",-3.13540022222222,-3.13921,0.165452666256771,-3.44696025,-2.7601135,1.00182745425682,816.870838780906,114
"a",-3.0964782,-3.103305,0.158889863799853,-3.39619125,-2.7597255,1.00104588847275,825.921019004302,115
"a",-3.06329874444444,-3.068345,0.149972962859866,-3.35213575,-2.74333675,1.00164569511674,817.032839129301,116
"a",-3.03610128888889,-3.040705,0.137808223846945,-3.2966865,-2.75143375,1.00151534474712,820.613142184835,117
"a",-3.01611161111111,-3.0212,0.12274916729129,-3.2461545,-2.751473,1.00167067427649,789.758147406423,118
"a",-3.00330983333333,-3.00605,0.107047309871361,-3.1994185,-2.78928275,1.00207074516686,775.050132402113,119
"a",-2.99857335555556,-3.00108,0.0911538839388485,-3.16457375,-2.817308,1.00267056567765,726.072461099252,120
