"t","mean","lower","upper","variable","model","params","iter","confignum"
90,0.0438865152150511,0.017758835547,0.0688976436171232,"rt","binomial","estimated",3,22
91,0.0365809868692675,0.00930576316176324,0.06070603880989,"rt","binomial","estimated",3,22
92,0.0319560052906993,0.00483380178496962,0.0561784770921955,"rt","binomial","estimated",3,22
93,0.0294879055622666,0.00341356166204772,0.0538071637979355,"rt","binomial","estimated",3,22
94,0.0307715008989756,0.00647528684336542,0.0556384564131465,"rt","binomial","estimated",3,22
95,0.0305702487587175,0.00646658336337876,0.0577146987984491,"rt","binomial","estimated",3,22
96,0.0234794104454955,-0.000576670947451702,0.049612779305001,"rt","binomial","estimated",3,22
97,0.0126606540858373,-0.0125577102419495,0.0377921040327386,"rt","binomial","estimated",3,22
98,0.0042887174053461,-0.0237647404632509,0.030618392931261,"rt","binomial","estimated",3,22
99,-0.00267706308825495,-0.0368324135049133,0.0283447404287652,"rt","binomial","estimated",3,22
100,-0.00799486498589345,-0.0521873821914358,0.0309052503978378,"rt","binomial","estimated",3,22
1,0.00887148840552592,0.00611245842873954,0.0123095190460084,"Pt","binomial","estimated",3,22
2,0.00896462442464236,0.00651929286094733,0.0118555536638132,"Pt","binomial","estimated",3,22
3,0.00907343605186724,0.00689258457636641,0.0115797877910183,"Pt","binomial","estimated",3,22
4,0.0092095982011065,0.0072124361984763,0.0114553344604106,"Pt","binomial","estimated",3,22
5,0.00938291375567106,0.00753324713836415,0.0113872333150037,"Pt","binomial","estimated",3,22
6,0.00959010747015129,0.00782925763024489,0.0115480314878238,"Pt","binomial","estimated",3,22
7,0.00983580383241795,0.00812443537467674,0.0117303810076262,"Pt","binomial","estimated",3,22
8,0.0101266976597039,0.00843222057463724,0.0120109737270444,"Pt","binomial","estimated",3,22
9,0.0104507666417944,0.00868773366799518,0.0123311811899459,"Pt","binomial","estimated",3,22
10,0.0107979380751896,0.00902371968918179,0.0127225822484741,"Pt","binomial","estimated",3,22
11,0.0111582827590943,0.00937114064559051,0.0131294531222558,"Pt","binomial","estimated",3,22
12,0.0115418838401807,0.0097115666513262,0.013546444191764,"Pt","binomial","estimated",3,22
13,0.0119392184534235,0.0100832965240642,0.0139866890088522,"Pt","binomial","estimated",3,22
14,0.0123527491313652,0.0104411605433866,0.0143981458394966,"Pt","binomial","estimated",3,22
15,0.0127956021764787,0.0108599427007841,0.0149397333122637,"Pt","binomial","estimated",3,22
16,0.0132789051509477,0.0113224225713172,0.015454604446397,"Pt","binomial","estimated",3,22
17,0.0138121975394181,0.0118159109863403,0.0159839538227011,"Pt","binomial","estimated",3,22
18,0.0144059960363412,0.0123134763363438,0.0166358755274242,"Pt","binomial","estimated",3,22
19,0.0150544852139263,0.0129101409293422,0.0173341225777316,"Pt","binomial","estimated",3,22
20,0.0157638945840257,0.0135965438561902,0.0181043334697096,"Pt","binomial","estimated",3,22
21,0.016520340141469,0.0143205716003406,0.0190817064137397,"Pt","binomial","estimated",3,22
22,0.0172848147919963,0.014993213309748,0.0199295149031831,"Pt","binomial","estimated",3,22
23,0.0180355404720617,0.0156787356406531,0.0207012845680262,"Pt","binomial","estimated",3,22
24,0.0187499216596845,0.01633812090229,0.0214789991258303,"Pt","binomial","estimated",3,22
25,0.0194104744037552,0.0168923940507566,0.0221547745924208,"Pt","binomial","estimated",3,22
26,0.0200420924261867,0.0175307243525788,0.0227605996746767,"Pt","binomial","estimated",3,22
27,0.020683507605414,0.0180812904491037,0.0233763571422493,"Pt","binomial","estimated",3,22
28,0.0213755625351184,0.0187364656321326,0.0241452661018872,"Pt","binomial","estimated",3,22
29,0.0221541992221074,0.0194255712582135,0.0249855972455807,"Pt","binomial","estimated",3,22
30,0.0230457680851546,0.0201916119003615,0.0260119009580885,"Pt","binomial","estimated",3,22
31,0.0240896003060791,0.021107921017587,0.0271668215592923,"Pt","binomial","estimated",3,22
32,0.025274199667878,0.0221773174988867,0.0284626258499123,"Pt","binomial","estimated",3,22
