obsmethod,t,rt,Pt,nSamples,nPos,phat,ssw,iter,confignum
betabinom,24,0.006368220763236069,0.011308895960947996,100000,1280,0.0128,1.0e-5,6,30
betabinom,25,-0.004798873078174771,0.011254756013844283,100000,863,0.00863,1.0e-5,6,30
betabinom,26,0.0043725279168660425,0.01130407549553937,100000,1152,0.01152,1.0e-5,6,30
betabinom,27,-0.0009282414631505108,0.011293587452433135,100000,1204,0.01204,1.0e-5,6,30
betabinom,28,0.005781266181751947,0.01135906778487911,100000,1229,0.01229,1.0e-5,6,30
betabinom,29,-0.0027948271016764344,0.011327365476255527,100000,1125,0.01125,1.0e-5,6,30
betabinom,30,0.0032807762060109305,0.011364589055114758,100000,1040,0.0104,1.0e-5,6,30
betabinom,31,-0.00945825743918189,0.011257606577588935,100000,1142,0.01142,1.0e-5,6,30
betabinom,32,-0.027893063890146248,0.010947936341201524,100000,1422,0.01422,1.0e-5,6,30
betabinom,33,-0.04735259699243424,0.010441605764822422,100000,906,0.00906,1.0e-5,6,30
betabinom,34,-0.06193185972530866,0.009814555312686305,100000,1019,0.01019,1.0e-5,6,30
betabinom,35,-0.07328510906704529,0.009121017909354457,100000,975,0.00975,1.0e-5,6,30
betabinom,36,-0.08861658736027381,0.008347522793129078,100000,729,0.00729,1.0e-5,6,30
betabinom,37,-0.1041832256615581,0.0075216204318241395,100000,917,0.00917,1.0e-5,6,30
betabinom,38,-0.12732108012195423,0.006622417718716377,100000,864,0.00864,1.0e-5,6,30
betabinom,39,-0.12368128396352664,0.005851975131748329,100000,711,0.00711,1.0e-5,6,30
betabinom,40,-0.11219256033908433,0.005230917397360648,100000,624,0.00624,1.0e-5,6,30
betabinom,41,-0.11494546415682025,0.0046629169587545415,100000,436,0.00436,1.0e-5,6,30
betabinom,42,-0.11517040125070449,0.004155658119205302,100000,522,0.00522,1.0e-5,6,30
betabinom,43,-0.0943225387097819,0.0037816040412665076,100000,395,0.00395,1.0e-5,6,30
betabinom,44,-0.08336449728725363,0.0034791352512068044,100000,365,0.00365,1.0e-5,6,30
betabinom,45,-0.07049367335214153,0.003242323163133692,100000,265,0.00265,1.0e-5,6,30
betabinom,46,-0.0674310875052186,0.0030308981993362495,100000,336,0.00336,1.0e-5,6,30
betabinom,47,-0.06501055565828802,0.002840126107848243,100000,280,0.0028,1.0e-5,6,30
betabinom,48,-0.0679722458119031,0.002653491207009405,100000,326,0.00326,1.0e-5,6,30
betabinom,49,-0.050841390973669166,0.0025219560697425287,100000,260,0.0026,1.0e-5,6,30
betabinom,50,-0.04351107566642226,0.0024145760979712946,100000,312,0.00312,1.0e-5,6,30
betabinom,51,-0.0576718200540916,0.0022792624934473466,100000,287,0.00287,1.0e-5,6,30
betabinom,52,-0.05330108190685155,0.0021609562691963626,100000,390,0.0039,1.0e-5,6,30
betabinom,53,-0.028732121931093403,0.0020997509007752314,100000,194,0.00194,1.0e-5,6,30
betabinom,54,-0.0540870746007866,0.00198919820286987,100000,220,0.0022,1.0e-5,6,30
betabinom,55,-0.061577320753731374,0.0018704037631082668,100000,144,0.00144,1.0e-5,6,30
betabinom,56,-0.04743610911358518,0.0017837505792517726,100000,167,0.00167,1.0e-5,6,30
betabinom,57,-0.05440031019587045,0.0016893061869114965,100000,264,0.00264,1.0e-5,6,30
betabinom,58,-0.053371569799742974,0.0016015090396672336,100000,135,0.00135,1.0e-5,6,30
betabinom,59,-0.07118588777429194,0.0014914673690283509,100000,87,0.00087,1.0e-5,6,30
betabinom,60,-0.054560069127838756,0.0014122728792370612,100000,108,0.00108,1.0e-5,6,30
betabinom,61,-0.0624736716739768,0.0013267425214623155,100000,97,0.00097,1.0e-5,6,30
betabinom,62,-0.05371992696396846,0.0012573505625747103,100000,125,0.00125,1.0e-5,6,30
betabinom,63,-0.06421821216208846,0.0011791437822682915,100000,145,0.00145,1.0e-5,6,30
betabinom,64,-0.01521010078613163,0.0011613445933751408,100000,148,0.00148,1.0e-5,6,30
