obsmethod,t,rt,Pt,nSamples,nPos,phat,ssw,theoreticalvar,iter,confignum
weighted,27,0.018622905761250398,0.00823111639474894,10,0,0.0,0.10523562129659128,0.0008950100244453106,9,17
weighted,28,-0.012071772862605107,0.008132349571970253,10,0,0.0,0.11329653181908028,0.0010131326412392545,9,17
weighted,29,-0.016139908885357684,0.008002147740122385,10,0,0.0,0.11528188259881603,0.0009997275288029961,9,17
weighted,30,-0.0187189468850439,0.007853749226752136,10,0,0.0,0.11876154622211917,0.0010811357806149384,9,17
weighted,31,0.002959064895531806,0.007877023398296813,10,0,0.0,0.12109177579250686,0.0010795703009515063,9,17
weighted,32,0.021562254092514277,0.00804871414609336,10,0,0.0,0.13739128380151236,0.0013360047105894588,9,17
weighted,33,0.002249172379206913,0.008066837465233147,10,0,0.0,0.11289338896718054,0.0010116432381779338,9,17
weighted,34,0.003852706545552348,0.008097976569134701,10,0,0.0,0.10978407613574497,0.0009632313184812915,9,17
weighted,35,0.002222395878142244,0.008115993491835082,10,0,0.0,0.11317817204696953,0.0010034477089211795,9,17
weighted,36,-0.01637371011443932,0.007984186595817153,10,1,0.1703143900377301,0.11740731123924848,0.0010548351165533848,9,17
weighted,37,-0.0036719938035346695,0.007954922473830334,10,0,0.0,0.11655533567294679,0.0010218836713442965,9,17
weighted,38,0.003011804281346746,0.007978917259055248,10,0,0.0,0.1543145600969655,0.0018210957841567187,9,17
weighted,39,0.006042181396410117,0.008027273265247093,10,0,0.0,0.1218763184291985,0.001158243496678946,9,17
weighted,40,-0.009356828166736,0.007952513750059084,10,0,0.0,0.10860460938225924,0.0009273054871127737,9,17
weighted,41,0.005447190995073141,0.007995950808919624,10,0,0.0,0.11033426750241918,0.0009498015983887615,9,17
weighted,42,-0.006761110797548481,0.00794207164630913,10,0,0.0,0.1677428542093953,0.0019617966529294796,9,17
weighted,43,0.008252624182381693,0.008007885774943827,10,0,0.0,0.14316784745465475,0.001349970012142869,9,17
weighted,44,0.03355079575930442,0.008281114607769258,10,0,0.0,0.12501918246912389,0.0011797867033436877,9,17
weighted,45,0.04047722487844543,0.008623187523924497,10,0,0.0,0.13108797412692177,0.0013394033949175686,9,17
weighted,46,0.04068089957556238,0.00898121970998747,10,0,0.0,0.14971924733048841,0.0018247121825479397,9,17
weighted,47,0.041367675867510875,0.009360543678606855,10,0,0.0,0.12954405050687492,0.0014879933820150827,9,17
weighted,48,0.04483211308533979,0.009789745763528965,10,0,0.0,0.11589079027740139,0.0012201856449756197,9,17
weighted,49,0.0881123232134001,0.010691486926175,10,0,0.0,0.11832622501582091,0.0013999467461273873,9,17
weighted,50,0.09147413993966956,0.011715607771250365,10,0,0.0,0.10722466916366867,0.001301095158709574,9,17
weighted,51,0.08947900836335666,0.012812239932297876,10,0,0.0,0.12206995025483235,0.001747474592403409,9,17
weighted,52,0.09901036675075083,0.014145708975391684,10,0,0.0,0.10521516573036986,0.001534155936037792,9,17
weighted,53,0.07407392161382198,0.015233321723376892,10,0,0.0,0.1191240314043597,0.002038198400512942,9,17
weighted,54,0.050669061108272115,0.016025068994051102,10,0,0.0,0.14448948395298852,0.0029488820900370155,9,17
weighted,55,0.04828248428674289,0.01681778222638103,10,0,0.0,0.1299347299515225,0.002643191548850452,9,17
weighted,56,0.0652927311096332,0.017952502559892235,10,0,0.0,0.10745291900538738,0.0020354613277799513,9,17
weighted,57,0.07510990111734113,0.019352844760416495,10,0,0.0,0.1308058766162626,0.002934796307527442,9,17
weighted,58,0.07468900214218288,0.020853638196393822,10,1,0.12326511206923334,0.11664314276509727,0.0025735700933413926,9,17
weighted,59,0.05752816103777965,0.022088488443182307,10,0,0.0,0.1303385653774022,0.0033961304540694915,9,17
weighted,60,0.020588484661454277,0.02254797074025224,10,0,0.0,0.12154818176920953,0.0033125527255294497,9,17
weighted,61,0.027318812373809374,0.023172445641076237,10,1,0.11058578589834613,0.10389507425189738,0.0024324323084382055,9,17
weighted,62,0.03336979690779719,0.023958751922274927,10,0,0.0,0.13012965909388435,0.003818194290002468,9,17
weighted,63,0.04959423964354065,0.02517692552999021,10,0,0.0,0.11540595048759655,0.003188194737529779,9,17
weighted,64,0.06415162094142828,0.026844998887157922,10,0,0.0,0.11150739061541862,0.0031732924022599275,9,17
weighted,65,0.0749132099890956,0.028933287601663412,10,2,0.317074666398204,0.11803739352907933,0.0037882512493619134,9,17
weighted,66,0.0705305304116975,0.031047655019962195,10,1,0.1719553632870709,0.11818840662461425,0.004022083670872017,9,17
weighted,67,0.06335943609986505,0.033078473352386305,10,0,0.0,0.11879106961081486,0.0042526451561429824,9,17
weighted,68,0.05414093984575839,0.03491874038132697,10,3,0.4338390059298937,0.12518318104355433,0.0048928212569944686,9,17
weighted,69,0.04825251870499575,0.03664497010112873,10,0,0.0,0.17637010787739907,0.008321147994068643,9,17
weighted,70,0.06519234856900481,0.03911353325034356,10,2,0.1806096979319432,0.10655983216133971,0.00420136318347703,9,17
weighted,71,0.06987522651923424,0.04194435053961976,10,0,0.0,0.10999876838703275,0.004699967900613757,9,17
weighted,72,0.08251755083803279,0.04555230851846292,10,1,0.21442457271843082,0.12484025028304756,0.006377392548659153,9,17
weighted,73,0.07329666566675941,0.04901654867059132,10,0,0.0,0.1125002440389566,0.005706312971094078,9,17
weighted,74,0.07875379517666703,0.053032862270324235,10,0,0.0,0.1440596086040717,0.0093744110456988,9,17
weighted,75,0.05822245736964138,0.05621222284574496,10,1,0.187702637193808,0.11779376657620155,0.007067460914086635,9,17
weighted,76,0.06139161319320506,0.059771313278953436,10,1,0.02929279731145227,0.1317325017043083,0.008894875564553891,9,17
weighted,77,0.037840988231752706,0.06207645826078442,10,0,0.0,0.13474939144829437,0.00888945841667339,9,17
