"round","date","nSamples","nPos","phat","ssw"
11,2021-04-18,5755,6,0.0011192317243607,0.000296195678725679
11,2021-04-19,8402,10,0.00167854730648726,0.000208687441021669
11,2021-04-20,10208,5,0.000478830887842945,0.00017102530147293
11,2021-04-21,11831,5,0.000401604325540546,0.000151959836578352
11,2021-04-22,11691,5,0.000279655620665064,0.000150874501072798
11,2021-04-23,11114,10,0.000865467392871696,0.000162799976461078
11,2021-04-24,10013,7,0.000886269361323552,0.000173969446183137
11,2021-04-25,8313,9,0.00119122621112656,0.00020680887994474
11,2021-04-26,9335,12,0.00162553213208246,0.000184432675636462
11,2021-04-27,7709,10,0.00133722543162062,0.000233935778668103
11,2021-04-28,6891,6,0.00137499260955209,0.000249331961258178
11,2021-04-29,5714,8,0.00116908054921506,0.000319138401774189
11,2021-04-30,5095,5,0.00118859494591945,0.000343250272746412
11,2021-05-01,4863,3,0.000413374146457161,0.00037727288218946
11,2021-05-02,1681,2,0.00427452449473312,0.00101020482399431
11,2021-05-03,2815,0,0,0.00062982363451182
12,2021-05-20,215,0,0,0.00601130527455484
12,2021-05-21,560,0,0,0.00224768481982859
12,2021-05-22,4995,1,0.000492835976183807,0.000253146821510341
12,2021-05-23,4892,4,0.000669719039983515,0.00025438758942038
12,2021-05-24,7255,6,0.00136315674681537,0.000168879187970666
12,2021-05-25,7738,10,0.0015234874498677,0.000158142240062993
12,2021-05-26,9062,6,0.000567262839595884,0.000136868389384499
12,2021-05-27,9143,8,0.00102777560660343,0.000134622458735776
12,2021-05-28,9344,12,0.00150282592893927,0.000130292641358672
12,2021-05-29,7735,14,0.0020988332995314,0.000160020423906833
12,2021-05-30,3007,2,0.00138567181132966,0.000414139223466057
12,2021-05-31,6221,7,0.000995075609298776,0.000200815641078623
12,2021-06-01,7725,15,0.00267487565739633,0.000159953602533793
12,2021-06-02,7261,14,0.00179716083711401,0.000169859217270789
12,2021-06-03,6249,8,0.00171707479871511,0.000199092285111569
12,2021-06-04,5366,3,0.00063440560319599,0.000227162142447746
12,2021-06-05,4157,8,0.00260369904830311,0.000296550091883882
12,2021-06-06,3143,7,0.00215124462587813,0.00039297750064036
12,2021-06-07,4666,9,0.00252630939808781,0.000265037232633588
13,2021-06-24,165,2,0.0106792380219357,0.00799555341370291
13,2021-06-25,394,1,0.00323795678318906,0.00324764786973303
13,2021-06-26,3099,15,0.00403327936390888,0.000422795452197129
13,2021-06-27,3562,14,0.00445427217019309,0.000360037950436093
13,2021-06-28,5612,20,0.00478288398615371,0.000220843593098467
13,2021-06-29,6413,25,0.00391011930145022,0.000195215922398069
13,2021-06-30,6872,38,0.00571381573332216,0.000183061789871677
13,2021-07-01,7470,35,0.00563073447369634,0.000169512885214099
13,2021-07-02,8167,50,0.00813889971670945,0.000153215490424181
13,2021-07-03,6991,47,0.00903932426174881,0.000179192791968205
13,2021-07-04,5550,29,0.00602708697088387,0.000228351845335708
13,2021-07-05,9130,44,0.00555658803851501,0.000137781056721181
13,2021-07-06,7715,46,0.00705145528552683,0.00016205617311158
13,2021-07-07,6510,29,0.00498727469517222,0.000193286643991603
13,2021-07-08,5225,32,0.00752153121647585,0.000239001382444001
13,2021-07-09,4530,29,0.00880416850427141,0.000274763144661341
13,2021-07-10,4159,26,0.00649533004410917,0.000306061062924046
13,2021-07-11,2722,16,0.0062708719851577,0.000462795267811965
13,2021-07-12,3751,29,0.00764046177710058,0.000330674059036649
14,2021-09-09,1559,12,0.00923702548495444,0.000852675463684847
14,2021-09-10,2233,25,0.0120844902950996,0.000613582495118319
14,2021-09-11,2049,15,0.0074926736459497,0.000652007800126053
14,2021-09-12,2864,21,0.00628676672932885,0.000465902703024933
14,2021-09-13,6781,44,0.00751793128706598,0.000192452823477161
14,2021-09-14,7481,54,0.00856692472765466,0.000175441716090276
14,2021-09-15,8367,54,0.0071091225535182,0.000158841032075373
14,2021-09-16,8124,57,0.00710298149716615,0.000161077087163942
14,2021-09-17,7698,57,0.00852508400719561,0.000170718049337046
14,2021-09-18,5653,49,0.00939130505723711,0.00023199330956024
14,2021-09-19,5453,45,0.00858235064779262,0.000244880175985103
14,2021-09-20,9288,69,0.00880821831630662,0.000141003184205234
14,2021-09-21,7068,49,0.00723406575594489,0.000182927039110115
14,2021-09-22,5915,43,0.00785135458721197,0.000221812253870673
14,2021-09-23,4937,44,0.00895473675929464,0.000268102234850781
14,2021-09-24,4284,40,0.0107608805833816,0.000300128083069876
14,2021-09-25,3363,31,0.0092052396351862,0.00039077881444125
14,2021-09-26,2828,25,0.00828979500168372,0.000451396162100769
