"X","t","mean","lower","upper","variable","date"
297,97,1.37841168936456,1.1076508493229,1.70243115010483,"Rt","2021-12-14"
298,98,1.41824609771112,1.1048640908559,1.83479014024428,"Rt","2021-12-15"
299,99,1.45588691033881,1.09674730115886,1.97990317966655,"Rt","2021-12-16"
300,100,1.49052340429619,1.07261373170889,2.15005284613788,"Rt","2021-12-17"
301,1,11.8922222222222,5,20,"nPos","2021-09-09"
302,2,16.9488888888889,9,27,"nPos","2021-09-10"
303,3,15.4155555555556,7,24,"nPos","2021-09-11"
304,4,21.4466666666667,11,32,"nPos","2021-09-12"
305,5,49.76,32,68.525,"nPos","2021-09-13"
306,6,55.3477777777778,36.475,76,"nPos","2021-09-14"
307,7,61.92,42,87.525,"nPos","2021-09-15"
308,8,59.7755555555556,39,81.525,"nPos","2021-09-16"
309,9,56.9688888888889,38,78,"nPos","2021-09-17"
310,10,42.5411111111111,27,59,"nPos","2021-09-18"
311,11,41.0233333333333,26,58,"nPos","2021-09-19"
312,12,71.1377777777778,48.475,94,"nPos","2021-09-20"
313,13,55.1744444444444,37,76,"nPos","2021-09-21"
314,14,47.3344444444444,30,68,"nPos","2021-09-22"
315,15,40.3533333333333,25,58,"nPos","2021-09-23"
316,16,35.7777777777778,22,51.525,"nPos","2021-09-24"
317,17,28.1255555555556,17,41.525,"nPos","2021-09-25"
318,18,24.5788888888889,14,37,"nPos","2021-09-26"
319,19,34.6588888888889,21,50,"nPos","2021-09-27"
320,20,3.30777777777778,0,8,"nPos","2021-09-28"
321,21,1.43777777777778,0,4,"nPos","2021-09-29"
322,22,0.0611111111111113,0,1,"nPos","2021-09-30"
323,23,0,0,0,"nPos","2021-10-01"
324,24,0,0,0,"nPos","2021-10-02"
325,25,0,0,0,"nPos","2021-10-03"
326,26,0,0,0,"nPos","2021-10-04"
327,27,0,0,0,"nPos","2021-10-05"
328,28,0,0,0,"nPos","2021-10-06"
329,29,0,0,0,"nPos","2021-10-07"
330,30,0,0,0,"nPos","2021-10-08"
331,31,0,0,0,"nPos","2021-10-09"
332,32,0,0,0,"nPos","2021-10-10"
333,33,0,0,0,"nPos","2021-10-11"
334,34,0,0,0,"nPos","2021-10-12"
335,35,0,0,0,"nPos","2021-10-13"
336,36,0,0,0,"nPos","2021-10-14"
337,37,0,0,0,"nPos","2021-10-15"
338,38,0,0,0,"nPos","2021-10-16"
339,39,0,0,0,"nPos","2021-10-17"
340,40,0,0,0,"nPos","2021-10-18"
341,41,26.3544444444444,16,38,"nPos","2021-10-19"
